date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:06	111354/111354	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202019%2009:06:04%20GMT	https://www.adrienbiguet.fr/	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/www.adrienbiguet.fr/index.html	(from )
10:06:07	112/112	---M-Z	200	added ('OK')	text/plain	date:Tue,%2019%20Feb%202019%2009:06:04%20GMT	https://www.adrienbiguet.fr/robots.txt		(from )
10:06:07	13212/13212	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Feb%202019%2009:06:05%20GMT	https://www.adrienbiguet.fr/runtime-service-worker.js?v=1	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/www.adrienbiguet.fr/runtime-service-worker3860.js	(from https://www.adrienbiguet.fr/)
10:06:07	54/54	---M--	400	error ('Bad%20Request')	application/json	date:Tue,%2019%20Feb%202019%2009:06:05%20GMT	https://www.adrienbiguet.fr/_dm/s/rt/actions/cacheKey	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/www.adrienbiguet.fr/_dm/s/rt/actions/cacheKey	(from https://www.adrienbiguet.fr/)
10:06:07	1064/1064	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Feb%202019%2009:06:05%20GMT	https://www.adrienbiguet.fr/feed/rss2	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/www.adrienbiguet.fr/feed/rss2	(from https://www.adrienbiguet.fr/)
10:06:07	1005/1005	---M--	200	added ('OK')	application/atom+xml	date:Tue,%2019%20Feb%202019%2009:06:05%20GMT	https://www.adrienbiguet.fr/feed/atom	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/www.adrienbiguet.fr/feed/atom	(from https://www.adrienbiguet.fr/)
10:06:08	268443/268443	---M--	200	added ('OK')	image/png	etag:%22a7d0842d4fdc64d3081179528ade7a2e%22	https://cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/tablet/IMG_20181219_154340-51a7b103.jpg	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/tablet/IMG_20181219_154340-51a7b103.png	(from https://www.adrienbiguet.fr/)
10:06:08	80953/80953	---M--	200	added ('OK')	image/jpeg	etag:%222cc1f5b0c6e18413a275297c11afb9d7%22	https://cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/desktop/city-truck-festival-2018.jpg	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/desktop/city-truck-festival-2018.jpg	(from https://www.adrienbiguet.fr/)
10:06:08	14278/14278	---M--	200	added ('OK')	image/jpeg	etag:%2280377f7b7125811a2a884afb7375ddd8%22	https://cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/desktop/t%c3%a9l%c3%a9chargement.jpg	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/desktop/t%c3%a9l%c3%a9chargement.jpg	(from https://www.adrienbiguet.fr/)
10:06:09	17260/17260	---M--	200	added ('OK')	image/jpeg	etag:%22778950f039be854ed17078a6cb86eb3c%22	https://cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/desktop/t%c3%a9l%c3%a9chargement+(3).jpg	C:/Users/dridr/Desktop/Mes%20Sites%20Web/CV/cdn.website-editor.net/dafb55808f24410cab85f4489031d889/dms3rep/multi/desktop/t%c3%a9l%c3%a9chargement+(3).jpg	(from https://www.adrienbiguet.fr/)
